,student_id,pillar_2,pillar_3,pillar_4
15,1126.0,"{'start_verse_id': 406, 'end_verse_id': 137, 'letters_count': -1780, 'page_count': 2.49}","{'start_verse_id': 4912, 'end_verse_id': 4924, 'letters_count': 1295, 'page_count': 2.35}","{'start_verse_id': 353, 'end_verse_id': 311, 'letters_count': -1164, 'page_count': 0.02}"
16,1128.0,"{'start_verse_id': 357, 'end_verse_id': 75, 'letters_count': -1816, 'page_count': 2.58}","{'start_verse_id': 6113, 'end_verse_id': 6195, 'letters_count': 883, 'page_count': 2.16}","{'start_verse_id': 323, 'end_verse_id': 250, 'letters_count': -1299, 'page_count': 0.23}"
17,1131.0,"{'start_verse_id': 391, 'end_verse_id': 125, 'letters_count': -1767, 'page_count': 2.55}","{'start_verse_id': 5268, 'end_verse_id': 5627, 'letters_count': 900, 'page_count': 1.73}","{'start_verse_id': 342, 'end_verse_id': 286, 'letters_count': -1217, 'page_count': 0.15}"
18,1138.0,"{'start_verse_id': 441, 'end_verse_id': 182, 'letters_count': -1766, 'page_count': 2.4}","{'start_verse_id': 5690, 'end_verse_id': 5699, 'letters_count': 831, 'page_count': 1.51}","{'start_verse_id': 372, 'end_verse_id': 348, 'letters_count': -1088, 'page_count': -0.1}"
19,1140.0,"{'start_verse_id': 507, 'end_verse_id': 274, 'letters_count': -1722, 'page_count': 2.21}","{'start_verse_id': 6085, 'end_verse_id': 6068, 'letters_count': 959, 'page_count': 2.03}","{'start_verse_id': 409, 'end_verse_id': 414, 'letters_count': -951, 'page_count': -0.23}"
20,1144.0,"{'start_verse_id': 504, 'end_verse_id': 275, 'letters_count': -1672, 'page_count': 2.13}","{'start_verse_id': 5438, 'end_verse_id': 5384, 'letters_count': 1003, 'page_count': 1.65}","{'start_verse_id': 406, 'end_verse_id': 409, 'letters_count': -955, 'page_count': -0.21}"
21,1146.0,"{'start_verse_id': 454, 'end_verse_id': 202, 'letters_count': -1754, 'page_count': 2.37}","{'start_verse_id': 6196, 'end_verse_id': 6131, 'letters_count': 675, 'page_count': 1.98}","{'start_verse_id': 379, 'end_verse_id': 362, 'letters_count': -1051, 'page_count': -0.1}"
22,1162.0,"{'start_verse_id': 630, 'end_verse_id': 633, 'letters_count': 61, 'page_count': 0.42}","{'start_verse_id': 774, 'end_verse_id': 794, 'letters_count': 1173, 'page_count': 1.98}","{'start_verse_id': 659, 'end_verse_id': 652, 'letters_count': 208, 'page_count': 0.1}"
23,1164.0,"{'start_verse_id': 350, 'end_verse_id': 65, 'letters_count': -1844, 'page_count': 2.65}","{'start_verse_id': 5922, 'end_verse_id': 5913, 'letters_count': 1090, 'page_count': 2.21}","{'start_verse_id': 320, 'end_verse_id': 243, 'letters_count': -1328, 'page_count': 0.23}"
24,1172.0,"{'start_verse_id': 473, 'end_verse_id': 247, 'letters_count': -1797, 'page_count': 2.15}","{'start_verse_id': 4703, 'end_verse_id': 4671, 'letters_count': 984, 'page_count': 1.62}","{'start_verse_id': 387, 'end_verse_id': 375, 'letters_count': -940, 'page_count': 0.01}"
25,1196.0,"{'start_verse_id': 356, 'end_verse_id': 74, 'letters_count': -1819, 'page_count': 2.58}","{'start_verse_id': 5826, 'end_verse_id': 5933, 'letters_count': 1254, 'page_count': 2.28}","{'start_verse_id': 323, 'end_verse_id': 249, 'letters_count': -1314, 'page_count': 0.21}"
26,1296.0,"{'start_verse_id': 412, 'end_verse_id': 159, 'letters_count': -1512, 'page_count': 2.74}",Use cluster averages (insufficient data),Use cluster averages (insufficient data)
27,1381.0,"{'start_verse_id': 348, 'end_verse_id': 66, 'letters_count': -1797, 'page_count': 2.73}","{'start_verse_id': 6070, 'end_verse_id': 6046, 'letters_count': 500, 'page_count': 1.12}","{'start_verse_id': 316, 'end_verse_id': 239, 'letters_count': -1220, 'page_count': 0.46}"
28,1526.0,"{'start_verse_id': 378, 'end_verse_id': 100, 'letters_count': -1808, 'page_count': 2.58}","{'start_verse_id': 5591, 'end_verse_id': 5619, 'letters_count': 1177, 'page_count': 2.09}","{'start_verse_id': 337, 'end_verse_id': 278, 'letters_count': -1245, 'page_count': 0.11}"
29,1697.0,"{'start_verse_id': 107, 'end_verse_id': 110, 'letters_count': 184, 'page_count': 0.46}",Use cluster averages (insufficient data),"{'start_verse_id': 43, 'end_verse_id': 58, 'letters_count': 670, 'page_count': 1.07}"
30,1711.0,"{'start_verse_id': 378, 'end_verse_id': 100, 'letters_count': -1808, 'page_count': 2.58}","{'start_verse_id': 5532, 'end_verse_id': 5461, 'letters_count': 1085, 'page_count': 1.74}","{'start_verse_id': 336, 'end_verse_id': 278, 'letters_count': -1240, 'page_count': 0.12}"
31,1738.0,"{'start_verse_id': 416, 'end_verse_id': 146, 'letters_count': -1750, 'page_count': 2.51}","{'start_verse_id': 5245, 'end_verse_id': 5153, 'letters_count': 1120, 'page_count': 1.98}","{'start_verse_id': 360, 'end_verse_id': 318, 'letters_count': -1148, 'page_count': 0.06}"
32,1740.0,"{'start_verse_id': 410, 'end_verse_id': 151, 'letters_count': -1680, 'page_count': 2.56}",Use cluster averages (insufficient data),Use cluster averages (insufficient data)
33,2422.0,"{'start_verse_id': 63, 'end_verse_id': 66, 'letters_count': 197, 'page_count': 0.36}","{'start_verse_id': 36, 'end_verse_id': 72, 'letters_count': 1182, 'page_count': 1.98}","{'start_verse_id': 63, 'end_verse_id': 65, 'letters_count': 218, 'page_count': 0.37}"
34,2425.0,"{'start_verse_id': 73, 'end_verse_id': 77, 'letters_count': 229, 'page_count': 0.39}","{'start_verse_id': 73, 'end_verse_id': 106, 'letters_count': 1047, 'page_count': 1.99}","{'start_verse_id': 74, 'end_verse_id': 75, 'letters_count': 168, 'page_count': 0.28}"
35,7409.0,"{'start_verse_id': 397, 'end_verse_id': 124, 'letters_count': -1785, 'page_count': 2.52}","{'start_verse_id': 5922, 'end_verse_id': 5913, 'letters_count': 1090, 'page_count': 2.21}","{'start_verse_id': 348, 'end_verse_id': 300, 'letters_count': -1194, 'page_count': 0.05}"
36,10729.0,"{'start_verse_id': 355, 'end_verse_id': 73, 'letters_count': -1783, 'page_count': 2.71}",Use cluster averages (insufficient data),Use cluster averages (insufficient data)
37,15666.0,"{'start_verse_id': 167, 'end_verse_id': 274, 'letters_count': 4677, 'page_count': 9.07}",Use cluster averages (insufficient data),Use cluster averages (insufficient data)
38,15668.0,"{'start_verse_id': 399, 'end_verse_id': 131, 'letters_count': -1779, 'page_count': 2.52}",Use cluster averages (insufficient data),Use cluster averages (insufficient data)
39,16085.0,"{'start_verse_id': 408, 'end_verse_id': 155, 'letters_count': -1673, 'page_count': 2.51}","{'start_verse_id': 8294, 'end_verse_id': 5159, 'letters_count': 3475, 'page_count': 5.75}",Use cluster averages (insufficient data)
40,16087.0,"{'start_verse_id': 378, 'end_verse_id': 110, 'letters_count': -1757, 'page_count': 2.6}",Use cluster averages (insufficient data),Use cluster averages (insufficient data)
41,16089.0,"{'start_verse_id': 198, 'end_verse_id': 208, 'letters_count': 2334, 'page_count': 4.09}",Use cluster averages (insufficient data),Use cluster averages (insufficient data)
42,26544.0,"{'start_verse_id': 824, 'end_verse_id': 817, 'letters_count': 295, 'page_count': 1.94}",Use cluster averages (insufficient data),"{'start_verse_id': 843, 'end_verse_id': 844, 'letters_count': 97, 'page_count': -0.24}"
